City,URL,Title,DatePosted

denver,https://denver.craigslist.org/roo/d/cozy-private-room-available/6731179866.html,C_O_Z_Y Private Room Available In Brand New Duplex,Oct 28

denver,https://denver.craigslist.org/roo/d/duplex-on-half-acre-with-open/6731127395.html,"Duplex on half acre, with open space in back",Oct 27

denver,https://denver.craigslist.org/roo/d/880-per-month-duplex-by-du/6726341130.html,$880 PER MONTH - Duplex by DU - Roommate needed,Oct 25

denver,https://denver.craigslist.org/roo/d/bedroom-and-private-bath-in/6713430635.html,"Bedroom and Private bath in Luxury duplex, 1 block from light rail",Oct 24

denver,https://denver.craigslist.org/roo/d/875-or-800-for-master-or/6707640041.html,$875 or $800 for master or second bedroom in W. Wash Park Duplex,Oct 22

